,Content,Location,Username,Retweet-Count,Favorites,Created at
26,"I already have the mascot, just need the opportunity! Looking forward to competing at the University of Mississippi State Elite football camp. @msstate @MSStateFootball @Coach_Leach @RoundRockFB @jeff_cheatham @TenneyCoach @GabelCoach @per4mancesports @thomaslhunter84 https://t.co/GGBKOE4hvD","Round Rock, TX",MasonSchuler4,4,10,2021-06-17 12:09:12
27,"@HailStateFB I already have the mascot, just need the opportunity. Headed to Elite football camp. Looking forward to meeting @Coach_Leach and the rest of the Mississippi State football coaches. Excited to see the University. @jeff_cheatham @TenneyCoach @RoundRockFB https://t.co/nq1VWSzSmf","Round Rock, TX",MasonSchuler4,0,0,2021-06-17 11:35:04
28,"Job Opportunity!

Postdoctoral Research Associate - Marine Chemistry at The University of Southern Mississippi, USA

https://t.co/auIYC6JMIQ
#Jobs #ScienceJobs #postdocjobs #postdoc https://t.co/BoW5SggvZU",,geotraces,8,8,2021-06-17 07:22:40
29,"Photo of everyone selected for grants by the University of Mississippi for “equity, diversity and inclusion”. You’ll never guess! You’ll never guess! (you already did, didn’t you?)  ↘️ https://t.co/nT1aLxrAgW",,nomorewanels,12,22,2021-06-17 05:28:46
30,"https://t.co/QyL722ia4y Professor of Digital Storytelling: Oxford, Mississippi University of Mississippi- School of Journalism and New Media Open Rank, Tenure-Track Professor of Digital Storytelling, with an emphasis on video production. … https://t.co/VZt0PxCWTl #NABJJobAlerts","Washington, DC",NABJ,1,0,2021-06-17 04:15:03
31,can’t wait to do my tell-all book on the university of mississippi &amp; everybody in it,"Mississippi, USA",AmirahLockhart,1,35,2021-06-17 03:55:38
32,BLESSED TO RECEIVE MY FIRST OFFER FROM THE UNIVERSITY OF MISSISSIPPI ❤️🤍💙 https://t.co/gYATiD5VC8,,MychalYharbrou2,25,151,2021-06-17 03:16:43
33,"Update to Sunday’s sports schedule which I will be partaking @stadiumswim &amp; @CircaSports:
-2 Eurocup matches @ 9AM
-US Open final round 7AM-5PM
-VGK vs Canadiens @ 5PM
And of course
-THE Mississippi State University Bulldogs vs Texas in the 2021 College World Series @ 4PM https://t.co/fcOUzxLc1w",,MississippiRob4,0,10,2021-06-17 01:43:27
34,Just posted a photo @ The University of Southern Mississippi School of Music https://t.co/hxLE9QUdpS,"Hattiesburg, Miss. ",USMmusic,0,1,2021-06-17 00:44:16
35,"#LatePost I accepted a new role at the University of Mississippi within the FASTrack Program as Coordinator of Student Recruitment &amp; Communications in March. I love connecting deeply with my students, collaborating with my colleagues, and leveraging my strengths to impact lives. https://t.co/LkSgHjKHRu","Oxford, MS",EducatorNewsom,0,8,2021-06-16 22:15:41
36,"CMCA is excited to welcome @UMMCnews as a Charter Member! Read about how Dr. @Eamfryoux and the @UMMCMedicine Team plan to ""offer high-quality, comprehensive and multidisciplinary care for patients with Type 2 #diabetes and #cardiovascular disease"": https://t.co/Lpa4PCwNty https://t.co/gqKMxo1UK7",,cardiometalli,3,9,2021-06-16 20:20:05
37,"This month for the #HESM Community Blog, I spoke with @WebbLewis21 of @OleMiss about student ambassadors, social media, and more... #HigherEd  https://t.co/EeOSHrlCfq","Portsmouth, New Hampshire, USA",jsonboucher,0,4,2021-06-16 20:10:56
38,@davenewworld_2 Bet she went to a university in Mississippi or Kentucky.  Probably graduated top of her class...,"Chehalis, WA",thesportsfann5,0,0,2021-06-16 19:49:37
39,"Last night, the Mississippi State University Head Football Coach Mike Leach, Women's Basketball Coach Nikki McCray-Penson and AD John Cohen came to Cleveland and spoke with fans and supporters of MSU as part of the MSU Road Dawgs Tour. https://t.co/E6Fk8wa3QA",,ACBolivarBullet,1,2,2021-06-16 17:45:26
40,"“When you get to have the best job with your best friends.” -Taylor Shaw, DO’17 

For those studying for boards, in rotations, or starting residency, THIS is what you have to look forward to! Dr. Shaw is a PGY-4 at the University of Mississippi Medical Center. #dcomalumni https://t.co/Q3lcgfVZto","Harrogate, TN",DCOMtweets,1,11,2021-06-16 17:25:20
41,Is Ole Miss coach Mike Bianco in the mix at LSU? Here's what the Rebels' AD has to say | The Sun Herald | https://t.co/ApXU4cJoa2,"Mississippi State, MS",MSUNewsDigest,0,0,2021-06-16 17:23:56
42,"PharmacyForward is a pharmacy-focused podcast hosted by Dr. Stuart Haines from the University of Mississippi. In a recent episode, Purdue’s Dr. Alan Zillich was featured to discuss getting work published. Listen on your favorite podcast app or in the link in our bio.

#PHPR https://t.co/hOu2si3AFO",,PurduePHPR,0,1,2021-06-16 16:50:04
43,"Hattiesburg, MS: Asst Curator of Historical Manuscripts, University of Southern Mississippi https://t.co/4XONq6qZwX","Madison, Wisconsin",archivesgig,1,3,2021-06-16 15:54:55
44,"Position: Visiting Assistant Professor of Mathematics - University of Mississippi, Mathematics - US, Mississippi, University. https://t.co/KPdc6aBIeq",,MathJobs1,0,0,2021-06-16 15:45:26
45,Excited to announce my commitment to the University of Southern Mississippi!! Go Eagles!! @SouthernMissBSB https://t.co/AOBR5f6UJc,,poch34,45,401,2021-06-16 15:36:19
46,"@BretBaier Did you do any research at the Mississippi State University Mitchell Library, which houses many of Grant's papers?",,beverlypdoss,0,0,2021-06-16 15:00:00
