,Content,Location,Username,Retweet-Count,Favorites,Created at
26,"@brianbloop2 @susan04071 @ConraddKonnrad @ClaremontGiddy @NielsOckelmann @Sir_Tom_Tucker @resiguru @geor97 @David19531501 @LeftBehindPoet @Europhile123 @Roblev0 @Ciolfilicious1 @afewpoints @Begentle50 @Davidmetroland @markwh2001 @MattAdkin @Matt_GS @jbm751121 @BeowulfSchaefer @chattymonkey @Schofield7Pete @thegrimbarian @condimentset @fan_vor @BrunoTheBridge @smeemartin @Chris_not_a_bot @viv_cooper @The_Leaver @TruthSe83611650 @CarlsbadCharlie @BlamesJinds @cambridge_peter @Swen_2017 @BlokeStokey @ShaneJa16905901 @cathyby @tripleGGGx @penhaphi @EmporersNewC @freedfromthest1 @wanderer_bolton @Sacro @VeuveK @SailFreeUK @RuddsBunny @dw2essex @afneil That sounds like sour grapes, Neil. It's not my fault that I raised myself up. The first person in my family to get a university education. And lived and worked in Europe. And would have loved, if the girl had accepted my overtures. What is brexit? Is it ALL about levelling down?",,Mac_Paddy54,0,4,2021-06-17 22:29:11
27,"Causation by Luke Fenton-Glynn
Cambridge University Press
Free for now! https://t.co/1QtNS7qIUP",,metaphysiqal,1,0,2021-06-17 22:08:54
28,Respects from Cambridge University Press. I never had the chance to work  with Peter but we published a great book with him on international trade in the mid-1990s. https://t.co/r8enAblqkf,Cambridge and Ely,philgood247,0,0,2021-06-17 22:08:04
29,"Latest COVID-19 data from Cambridge, MA Schools
Cambridge Public Schools:
Total Confirmed Cases: 149
Staff: 81
Students: 70
Student Athletes: 15
Confirmed In-School Transmission: 8

Harvard University Total Cases: 293
Lesley University Total Cases: 0
MIT Total Cases: 366
#CambMA","Cambridge, MA",CambridgeCOVID,0,1,2021-06-17 22:02:01
30,"quakerjoe: Governmentium: After the discovery of Unobtainium and Expensivium, Cambridge University researchers have discovered the densest element yet known to science. The new element, Governmentium (symbol=Gv), has one neutron, 25 assistant... https://t.co/OwvLr4QInl","Boston, MA",Birohazard,0,0,2021-06-17 21:44:49
31,"@camdiary @Cambridge_Uni @TrinCollCam @theUL @Selwyn1882 @rogermosey @CamUniLibrarian @stjohnscam Did you know the architect, Giles Gilbert Scott, of the Cambridge University Library, was also the designer of our much loved red telephone box. Can you see the resemblance ? 😉","Cambridge, England",lizzieellwood,0,2,2021-06-17 21:30:28
32,"Like so many community sports clubs, Oxford University Rugby Football Club and Cambridge University Rugby Union Football Club have been hit hard by the pandemic. 

The Varsity Matches  are vitally important in raising funds for the…https://t.co/P3BhWNyiyk https://t.co/2QfjNXWrnP","London, England",OlliePhillips11,0,1,2021-06-17 21:11:55
33,"Here's another review that came out on the Weiss and Springer book, this time by the stellar Ann Kakaliouras. Take a minute to read it. There's so much that can be said about the book, but for me it boils down to two things Kakaliouras writes

https://t.co/Aehy9jfLIh https://t.co/niVqe3WcWu",Coast Salish land/Bellingham,LSpakeAnthro,0,3,2021-06-17 21:11:29
34,"The Trojan Room coffee pot was a coffee machine located next to the so-called Trojan Room in the old Computer Laboratory of the University of Cambridge, England, which in 1991 provided the inspiration for the world's first webcam. https://t.co/IPYQufLL8V",,weirdkipedia,0,0,2021-06-17 21:00:02
35,"Also, the student from Poland at a secondary school going to Cambridge University in September. Hope you acknowledge that non-selective post-Primary schools don't fail their students,as so much media hyperbole this week has stated! https://t.co/p5u4YVT81g",Belfast,michelemmarken,1,5,2021-06-17 20:48:21
36,"The Leader of the House of Commons doing his bit to bring back peace to the realm and reunite a divided country.

""We should rename Cambridge Churchill University, that would be one in the eye for the lefties, rah rah rah!""

#ToryScum https://t.co/RD1CD0jzDJ",Liverpool,Philsbodydouble,0,1,2021-06-17 20:09:44
37,"@brianbloop2 @JohnRya13591294 @resiguru @susan04071 @Schofield7Pete @Begentle50 @Matt_GS @ClaremontGiddy @wanderer_bolton @jbm751121 @BlamesJinds @Roblev0 @David19531501 @Ciolfilicious1 @afewpoints @LeftBehindPoet @NielsOckelmann @markwh2001 @MattAdkin @Europhile123 @geor97 @BeowulfSchaefer @ConraddKonnrad @Mac_Paddy54 @chattymonkey @thegrimbarian @condimentset @fan_vor @Sir_Tom_Tucker @BrunoTheBridge @smeemartin @Chris_not_a_bot @viv_cooper @The_Leaver @TruthSe83611650 @CarlsbadCharlie @cambridge_peter @Swen_2017 @BlokeStokey @ShaneJa16905901 @cathyby @tripleGGGx @penhaphi @EmporersNewC @freedfromthest1 @Sacro @VeuveK @SailFreeUK @RuddsBunny @dw2essex Many advertisers don't want the branding. Vodafone, IKEA, Nivea, Kopparberg, Grolsch, the Open University, Octopus Energy, Ovo Energy and insurer LV, stopped Sky Media. 

ushttps://www.campaignlive.co.uk/article/gb-news-appoints-sky-media-handle-ad-sales-ahead-launch/1717225","Kensington, Southern Spain.  ",Davidmetroland,0,0,2021-06-17 20:02:07
38,Ornate door handle in Cambridge  #Black #White #Iron #Steel #Metal #Cambridge #Cambridgeshire #University #College #Education #Door #Wood #Wooden #Historic #History #Old https://t.co/a5XpSVFuTk,"Cambourne, England",Joe_rey_photo,0,0,2021-06-17 19:52:58
39,Researchers at the Chinese Academy of Social Sciences this year predicted China’s bitcoin mining industry by 2024 could consume more energy than Italy. University of Cambridge researchers estimated that bitcoin miners globally accounted for more energy use than Argentina.#Bitcoin,"Seattle, WA",BluesManStew,0,0,2021-06-17 19:30:14
40,"Cambridge University, favoured recruiting ground for commie spies https://t.co/t0Q4LZRC28",Gab.com/Ayla,CamilleHurn,0,0,2021-06-17 19:23:54
41,"@All_Things_Vain Holy shit ahhh, not kill lol. But I'm gonna potentially ruin Her PhD that she's doing at Cambridge University.",,AztroLINK,0,11,2021-06-17 19:21:11
42,"📚 The Telegraph can reveal that one University of Cambridge college has taken 22 students from just one London private school.
 
❌  This is not all we found. See which fee-paying, state and grammar schools are sending their pupils to Oxbridge 👇
 
~Thread",,artytrace,1,2,2021-06-17 19:20:02
43,"Fun facts - Toope's efforts to stifle free expression and implement wokeness at Cambridge University included cancelling a @jordanbpeterson visiting fellowship in 2019.
Toope then collected an Honourary Doctorate from @LawSocietyLSO in June 2019. https://t.co/onOpt3KhuL",Toronto,LitigationGuy,1,6,2021-06-17 19:13:59
44,"Kostas Kampourakis and Tobias Uller (Eds.): Philosophy of Science for Biologists. Cambridge University Press: Cambridge, UK, 2020, 330 + x pp., £69.99 (hardcover), ISBN: 9781108491839 https://t.co/XwbecZbV3W","St Petersburg, FL and Global",skydog811,0,0,2021-06-17 18:52:47
45,The Biblical Authors Should Count as Philosophers | FifteenEightyFour | Cambridge University Press https://t.co/tuzjm1mrwb,"St Petersburg, FL and Global",skydog811,0,0,2021-06-17 18:52:12
46,@thedavidgersch And for more this paper by Cambridge university. https://t.co/UTQ6yQyk59,London Town,The_Kid_Icarus,0,1,2021-06-17 18:48:28
47,"Although a number of top business schools have been cutting back the number of application essays they require over the past few years, @CambridgeJBS still demands four separate submissions from its aspiring students: https://t.co/9h86WKggko",,mbaMission,0,0,2021-06-17 18:42:36
48,"Targeting cellular response to SARS-CoV-2 holds promise as new way ... 
https://t.co/cwcKq2pbYM
#Antiviral #Cambridge #Coronavirus #Discovery #Pandemic #Pathogens #Pathology #Production #Remdesivir #Research #Scientists #Treatment #University #UniversityOfCambridge #ZikaVirus https://t.co/uqpu2fMQdv",Australia,MirageNewsCom,0,0,2021-06-17 18:32:07
49,"Read more: https://t.co/M59mV1NK2H 

#studyabroad #internationalstudents #internationalscholarships #studyinuk #ukscholarships #cambridge #oxbridge #studyingabroad #pgscholarships #uk https://t.co/w7I8FmwKzX",,lurnableedu,0,0,2021-06-17 18:28:43
50,"For those who are interested in EU asylum policy, our article (co-authored with Asli bilgin) is published by  European Review of Cambridge University Press. It is now available online. https://t.co/XItEj1oncY",,arikan_harun,0,18,2021-06-17 18:27:43
51,@Yasinyilmaz0707 @Percligia Nice nose ring 😂🤣😆😂🤣 Take care of your homework From the University of Cambridge 😆😂🤣Otherwise you'll end up making kebabs if you don't work 😘,Bouches-du-Rhône,haydusud,0,0,2021-06-17 18:02:07
52,"@carladoesscicom 2002 (aged 22): finished biochemistry degree; start office work as I had no idea what I wanted to do (other than 'not academia for now'
2003: computer officer, start BTEC in graphic design
2005: graphic designer for Cambridge University Press",Cambridge,HamishSymington,0,2,2021-06-17 18:01:44
53,"Isabel is a second-year Natural Sciences undergraduate at the University of Cambridge, specialising in Earth Sciences.
When on breaks she spends her timeback in the USA enjoying the Green Mountains of Vermont.
Read more about her on our team page💚 https://t.co/prHzyzpdnT",,climatalk_org,0,2,2021-06-17 17:59:39
54,@camdiary @theUL @Cambridge_Uni I esp like the colour book section. Bring your own color pencils to be covid safe. Warning. You need to be a member of the University.,"Cambridge, England",juett1609,0,0,2021-06-17 17:58:34
55,"Congratulations to Dr Raj Jena, the innovative staff at the Oncology Unit of the Cambridge University Hospitals NHS Foundation Trust, and to all @CUH_NHS for winning this prestigious #artificialintelligence award by NHSX
#InnerEye is an #opensource #AI, a ground-breaking project! https://t.co/YccxFS8lCr","Oxford, England",AristidouAngela,1,1,2021-06-17 17:50:49
56,"“I’m so grateful for the Stamps Scholarship.""

2021 graduate and @uohonors student Noa Cohen will be attending graduate school at the University of Cambridge. @stamps_scholars https://t.co/v4uDlsoYay https://t.co/XuFpuTwAkP","Eugene, OR",UOGiving,2,8,2021-06-17 17:36:02
57,"@haydusud @Percligia yes i salute you from Cambridge university also homework is very difficult
😂😂🧠🧠","California, USA",Yasinyilmaz0707,0,0,2021-06-17 17:26:39
58,"Miller, J. G. (1996). Search and destroy: African-American males in the criminal justice system. Cambridge University Press.

Woolcock, M. (1998). Social capital and economic development: Toward a theoretical synthesis and policy framework. Theory and society, 27(2), 151-208. https://t.co/72FcOZwhT8",,JordanJamesEtem,0,0,2021-06-17 17:24:33
59,"ChemRxiv Moves to Cambridge University Press’ Open Engage Platform:  https://t.co/sUCHGN57vP 

#chemistry #chemtwitter @ChemRxiv https://t.co/HxQqtv1OIL",Beijing,ChineseChemSoc,1,2,2021-06-17 17:24:10
