https://t.co/uopAcsJgml
RT @wizkhalifa: Wow my skin teeth and hair looks great on late night tv.
RT @wizkhalifa: Don't wait until real life hits you to finally start getting real wit your life
"RT @BinnysBev: Time to bond. @brothersbond bourbon comes from actors @iansomerhalder and @paulwesley. This balanced, smooth bourbon is now…"
RT @MercyForAnimals: Be the reason the world has more joy. https://t.co/rAqLsbr30R
RT @boonaamohammed: Sometimes you have to walk away from what you want in order to find what you really deserve.
RT @wizkhalifa: I’m just bringing my blanket to the couch at this point. No sense in fighting it
.@GretaThunberg you are a legend. https://t.co/OvDSnoFce2
RT @hikassandra: My fave cocktail like not even lying! It’s delicious😋 Mystic charmer ✨ @BondBourbon @paulwesley @iansomerhalder https://t.…
"RT @BevMo: NEW @BondBourbon has arrived! Created by @iansomerhalder and @paulwesley, Brother's Bond is smooth on the tongue, with robust fl…"
RT @gopuff: .@paulwesley and @iansomerhalder’s @BondBourbon is now available in California and Arizona on @gopuff and at @BevMo. Craft up y…
RT @BernieSanders: The devastation in Gaza is unconscionable. We must urge an immediate ceasefire. The killing of Palestinians and Israelis…
"RT @RollingStone: Sold out on pre-order, Brothers Bond Bourbon, the new whiskey from 'Vampire Diaries' stars, Ian Somerhalder and Paul Wesl…"
Fuck you Andrew https://t.co/Of4iPg3VB4
Oh hello there! https://t.co/oOBMNgZNW6
